Name,Location,Study Program,Sector,Affiliation,Rating
Army Public School and College for Girls Rawalpindi,"Army Public School & College for Girls, 208 Hamayun Road, Rawalpindi Cantt",FA FSc Pre Engineering FSc Pre Medical ICS I.Com,Private,N/A,4*
Vertex College of Science and Technology Battagram,"Behind DHQ Hospital, Forest Colony, K.P.K. ",FSc Medical Lab Technology Paramedical Diplomas FSc Pre Engineering FSc Pre Medical,Private,N/A,4.5*
Govt Degree College Boys Kot Radha Kishen Kasur,Govt Degree College Boys Kot Radha Kishen Kasur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
"Defence Authority Sheikh Khalifa Bin Zayed College, Karachi","DA SKBZ COLLEGE, Khayaban-e-Rahat, Phase VI, DHA, KARACHI-75500, ",ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,N/A,N/A,0*
"Chanab College of Commerce, Gujrat","Jalalpur Jattan Road Gujrat, ",FA ICS Computer Science FSc Pre Engineering FSc Pre Medical ICS Stats,N/A,N/A,4*
Govt Boys Degree College Kabirwala Khanewal,Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Govt Degree College Shahpur Sadar Sargodha,Govt Degree College Shahpur Sadar Sargodha,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,5*
"The Jinnah Educators College, Lahore","14-E2 Wapda Town, Lahore.",FA Fsc General Science ICS ICOM,N/A,N/A,0*
Sialkot College of Commerce,"Railway Road, Sialkot, Punjab, ",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,N/A,1*
Govt Syed Chiragh Shah Degree College For Women Kot Murad Khan Kasur,Govt Syed Chiragh Shah Degree College For Women Kot Murad Khan Kasur,FA FSc Pre Engineering FSc Pre Medical ICS,Public,N/A,0*
Govt College of Commerce Peoples Colony Faisalabad,Govt College of Commerce Peoples Colony Faisalabad,Icom Dcom FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS DBA,Public,N/A,4*
PAEC Model College Islamabad,"PAEC Model College, Pinstech Colony, Nilore (F.A), Islamabad",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Govt Degree College For Women Jhang City,Govt Degree College For Women Jhang City,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,N/A,3.25*
Chiltan College Of Business And Commerce Quetta,"Hari Kishan Street, Masjid Road, Quetta.",Dcom Fsc Pre Medical FSc Pre Engineering ICS Computer Science,N/A,University of Balochistan & Balochistan Board of Intermediate and Secondary Education,0*
Cadet College Wana Dera Ismail Khan,"Cadet College Wana, SWA C/O P.O.Box NO.31, GPO, Dera Ismail Khan",FSc Pre Medical FSc Pre Engineering FSc Pre Computer Science ICom ICs Computer Science FA,Private,N/A,0*
Islamia Modern Degree College Abbottabad,"Mansehra Road, Abbottabad",FA Fsc Pre Medical FSc Pre Engineering FSc Computer Science,N/A,"BISE, Abbottabad & Hazara University Mansehra",0*
"Mentors The Accounting Academy, Karachi","D-5,BLOCK H, North Nazimabad, Karachi (Near KFC Hyderi Branch)",ICom,N/A,N/A,0*
Govt Shah Hussain Degree College Lahore,30-1-AII Township Lahore,Icom FA FA General science ICS FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Govt Degree College Bhimber,"Bhimber, District Mirpur, Azad Jammu & Kashmir",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,N/A,0*
"Rangers Public College, Lahore",Zarrar Shaheed Road Lahore Cantt,FA Fsc Pre Engineering ICs Computer Science ICom FSc Pre Medical,N/A,N/A,0*
Govt College For Women Farooq Colony Sargodha,Govt College For Women Farooq Colony Sargodha,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom,Public,N/A,0*
Govt Post Graduate College For Women Chishtian Bahawalnagar,Govt Post Graduate College For Women Chishtian Bahawalnagar,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Institute Of Business & Finance Rawalpindi,"34-B/1, Civil Lines, Near Karachi Chowk, Rawalpindi",Icom FA ICS FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Mishwani College Of Commerce And Accounting Abbottabad,"Street # 3, Jinnahabad Colony, Abbottabad.",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,N/A,0*
Government Post Graduate College Dargai Malakand,Government Post Graduate College Dargai Malakand,FA Icom FSc Pre Engineering FSc Pre Medical,Public,N/A,2*
Govt Degree College For Women Kunjah Gujrat,Kunjah Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Govt Boys Degree College Hasilpur Bahawalpur,Govt Boys Degree College Hasilpur Bahawalpur,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Acme College Of Excellence Sargodha,FAISAL ABAD ROAD,FA Fsc Pre Engreening FSc Pre Medical ICom ICs Computer Science,Private,N/A,5*
KIPS Campus Gujranwala,Gujranwala,ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA,Private,N/A,3*
Govt Degree College Sargodha,"Govt Degree College Chak NO.90 S.B, Sargodha ",Fsc Pre Medical FSc Pre Engineering ICs Computer Science FA FSc General Science,Public,N/A,0*
Quaid-e-Azam Group of Colleges Lahore (Main Campus),"95- Main Ferozepur Road, Lahore",FSc Pre Engineering Fsc Pre Medical ICS I.Com FA,Private,"BISE Lahore 
 University of the Punjab Lahore",0*
NKFACT Institute of Computer Science,"49-G, ICS Stop, Model Town, Lahore",FA Fsc ICOM ICS,N/A,N/A,0*
Cadet College Pasrur,Cadet College Pasrur Sialkot,FSc Pre Medical Fsc Pre Engineering ICS ICom,N/A,N/A,0*
Govt Degree College For Women Hassan Abdal Attock,"Abbot Abad Mor, Opposite Cadet College Hassan Abdal",FA FSc Pre Engineering Fsc Pre Medical FSc General Science FSc Computer Science Combination,Public,N/A,0*
"Ashrafia Girls College, Lahore",Ferozepur Road Lahore,FA FSc Pre Engineering FSc Pre Medical ICS,N/A,N/A,3.25*
The Muslim Education System Peshawar,"Northern By-Pass, Dalazak Road, Peshawar",FA Icom ICs Computer Science FSc Pre Medical FSc Pre Engineering DCom,N/A,N/A,4*
Federal Govt Degree College Quetta Cantt,Federal Govt Degree College Quetta Cantt,FSc Pre Engineering Fsc Pre Medical FA ICs Computer Science,N/A,N/A,2*
Govt College For Women D-Type Colony Faisalabad,Govt College For Women D-Type Colony Faisalabad,FA Fsc Pre-Medical FSc Pre-Engineering FA General Science ICS ICom,Public,N/A,0*
Ghazali Premier College Lahore,"5-E Samanberg, Johar Town, Lahore.",FA FSc Pre Engineering FSc Pre Medical ICS Icom A level,N/A,N/A,0*
The Mentor Group of College Islamabad,"The Mentor Group of Colleges, Ahmed Plaza, Block-B, PWD Housing Society, Main Road, Islamabad",FSc Pre Medical FSc Pre Engineering ICs Computer Science ICom A Levels,Private,N/A,0*
Garrison Public School And College Dera Ghazi Khan,"Main Multan Road, Near Darbar Ameer Shah Dera Ghazi Khan",FSc pre Engineering Fsc pre Medical ICs Computer Science FA ICom,N/A,N/A,3.25*
Punjab Group of Colleges Fateh Jang,"1/2 KM, Kohat Road near Tehsil Headquarter & Degree College Morh Fateh Jang",ICS Computer Science FA FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Federal Government College of Home Economics and Management Sciences,F-7/2 ISLAMABAD,FA Home Economics FA,Private,N/A,0*
Concordia College Kasur,Capt naseem hayat shaheed road.near The Educators School Kasur,FA Icom ICS FSc Pre Engineering FSc Pre Medical,Private,N/A,0*
SAN Institute of Management Sciences Lahore,"29-C/1, Gulberg-III, Lahore - ",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Private,Riphah International University (RIU Islamabad,0*
Faisalabad College of Commerce Jaranwala Road Faisalabad,Faisalabad College of Commerce 107-C-1 Peoples Colony Jaranwala Road Faisalabad,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom,Public,N/A,5*
Tariq Bin Zaid School & College Sahiwal,"8-A, Fateh Sher Colony, Sahiwal",FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,N/A,N/A,2*
Leads Group of Colleges Sahiwal,Leads Group of Colleges Sahiwal,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,Private,N/A,0*
"Imperial Degree College, Karachi","B-1, Block-16, Gulistan-e-Jauhar Karachi",FA FSc Pre Medical FSc Pre Engineering Icom,N/A,"The University of Karachi
Board of Intermediate Education Karachi",1.5*
Islamabad Model College for Boys I-8/3 Islamabad,"Islamabad Model College for Boys, I-8/3, islamabad",FSc Pre-Medical FSc Pre-Engineering ICom ICS FA FA General Science,Private,N/A,0*
Dr. A.Q Khan School System & College Islamabad,"Dr.A.Q Khan School System & College, Ibraheem Campus, House No.1845-U &W, Street No.18/2, Block B, National Police Foundation, O-9, Islamabad",ICs Computer Science FSc Pre Medical ICom FSc Pre Engineering FA,Private,N/A,0*
Govt Nawab Mumtaz Degree College For Women Gujrat,Daulat Nagar Gujrat,FA FSc Pre-Engineering FSc Pre-Medical FA General Science,Public,N/A,0*
Hitec Degree College Peshawar,"Near Shafique Saraey, Gulberg No. 2, Peshawar Cantt.",FSc Pre Engineering FSc Pre Medical FCs Computer Science FA Arts ICS Computer Science,N/A,Peshawar Board,0*
Indus Group of Colleges Rawalpindi,"Indus College Of Commerce Rawalpindi: 89-A, Satellite Town, 6th Road, Rawalpindi. Landmarks : 6th Road",Icom ICs Computer Science FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
"Madar-e-Millat Degree Girls College, Karachi","Steel Town, Karachi",FA Fsc Pre Medical FSc Pre Engineering,N/A,N/A,3.75*
Govt Institute of Commerce Shahdara Lahore,"Shahdara Chowk, Shahdara Lahore",Icom Diploma in Commerce FA Fsc Pre Engineering FSc Pre Medical ICS,N/A,N/A,0*
Mirpur High School and College Mirpur Azad Kashmir,"F11-1, Sector A5, Mipur Azad Kashmir, ",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Govt College For Women Dina Jhelum,Govt College For Women Dina Jhelum,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,1*
Govt College of Commerce Dera Ghazi Khan,Govt College of Commerce Dera Ghazi Khan,Dcom FSc Pre Engineering FA FSc Pre Medical ICs Computer Science ICom ACCA DBA,Public,N/A,0*
ILM Group of Colleges Multan,Main Market Mumtazabad Multan,FSc Pre Medical FSc Pre Engineering ICS ICom FA FA General Sciences,Private,N/A,0*
Govt Degree College For Women Phool Nagar Kasur,Govt Degree College For Women Phool Nagar Kasur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Govt Degree College Sagheer Shaheed Park For Women Gujranwala,Govt Degree College Sagheer Shaheed Park For Women Nowshera Road Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS FA General Science Icom,Public,N/A,0*
Govt College Of Technology Gujranwala,Govt College of Technology Gujranwala,DAE Electrical DAE Electronics DAE Mechanical DAE Instrumentation DAE Mechatronics,Public,N/A,0*
Govt College For Women Attock,Govt College For Women Attock,FA Fsc Pre Medical FSc Pre Engineering ICS FA General Science,Public,N/A,2*
Govt College For Women Ayub Research Institute Jhang Road Faisalabad,Govt College For Women Ayub Research Institute Jhang Road Faisalabad,FSc Pre-Medical FSc Pre-Engineering ICS FA General Science FA ICom,Public,N/A,0*
Punjab College for Women Vehari,Ludan Road Vehari,FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,"University of Punjab Lahore 
 BISE Lahore",4*
Superior Group of Colleges Depalpur,Opposite Grid Station Okara Road Depalpur,FA FSc Pre Engineering FSc Pre Medical ICS IComFSc General Science,Private,N/A,3*
"Govt. College of Commerce, Vehari","Near City Police Station, Vehari",ICom,N/A,N/A,5*
Malakand Public School & College Dargai,"Dargai, Malakand",FA Icom FSc Pre Medical FSc Pre Engineering ICS Computer Science,N/A,N/A,0*
Punjab Group of Colleges Pasrur,"1-KM Sialkot Road,Opposite Sugar Mill, Pasrur",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,2*
Govt Jamia Nusrat College for Women Chenab Nagar District Chiniot,Govt Jamia Nusrat College for Women Chenab Nagar District Chiniot,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,N/A,4*
Afridi Model School & College,Near Pushtakhara Chowk Ring Road Peshawar,FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,Private,N/A,3*
Leads Group of Colleges Bahawalpur,College Road Rafi Garden Bahawalpur,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
Al Hamd Institute of Sciences Sargodha,"87-A, Satellite Town Sargodha",FA Icom FSc Pre Medical FSc Pre Engineering ICS Computer Science,N/A,N/A,0*
Allied Science College,"1 Sialkot Road, Near Session Court, Gujranwala",FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Private,N/A,1.5*
Govt College For Women Sumandari Faisalabad,Govt College For Women Sumandari Faisalabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,0*
Quaid-e-Azam Group of Colleges Sheikhupura,Quaid-e-Azam Group of Colleges Sheikhupura,FA ICS Computer Science FSc Pre Engineering FSc Pre Medical ICom FSc General Science,Private,N/A,0*
Govt Boys Degree College Hazro Attock,Hazro Attock,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS,Public,N/A,2*
Aligarh College for Women Lahore,"38-47/C-II, Ghalib Road, Gulberg-III, Lahore",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom FA,N/A,BISE Lahore,0*
Petroman Institute Islamabad,"27-E, 2nd Floor, Ali Plaza, Fazale-eHaq Road, Blue Area, Islamabad",Icom Fsc Pre Engineering ICS FSc Pre Medical FA,Private,N/A,0*
Islamabad College for Girls Islamabad,"Islamabad College for Girls, F-6/2, Islamabad",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
Govt College For Women Peoples Colony Faisalabad,"Govt College For Women Peoples Colony # 2, Faisalabad",FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,N/A,0*
Aviation Army Public School And College Rawalpindi,Dhamial Campus Rawalpindi,FA Icom ICS FSC Pre medical FSc Pre Engineering,Private,N/A,0*
Govt Institute of Commerce Tehsil Bhalwal District Sargodha,"Kotmoman Road, Bhalwal",Icom FA DCom,Public,N/A,0*
Pakistan Cadet School and College Murree," Cadet School & College Murree Sunny Bank Murree Hills,",FSc Pre Medical FSc Pre Engineering ICS FA Arts,Private,N/A,0*
Govt College Of Commerce Sahiwal,Govt College of Commerce Sahiwal,Icom ICS Computer Science DCom,N/A,N/A,0*
Govt Post Graduate College For Women Bahawalnagar,Govt Post Graduate College For Women Bahawalnagar,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Bahria Foundation College Rawalpindi Cantt,"Bahria Foundation College, House No.99, Hali Road, Westridge-I, Rawalpindi Cantt",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,0*
Govt Boys Degree College Kharian Gujrat,Govt Boys Degree College Kharian Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
"Govt. College of Commerce, Gojra, District Toba Tek Singh","Gufar Park, Painsara Road, Gojra",ICom,N/A,N/A,0*
Govt Boys Degree College Abdul Hakim Kabirwala Khanewal,Govt Boys Degree College Abdul Hakim Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Global Post Graduate College Abbottabad,"Tanchi Chock Rauf Building Opp. Forest. Office Road, Abbottabad",FA Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Nusrat Jahan Girls College Rabwa Chenab Nagar,Nusrat Jahan Girls College Rabwa Chenab Nagar,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,N/A,0*
Punjab Group of Colleges Sharaqpur,"3-Km, main Jaranwala Road, Sharaqpur",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,3.5*
The Muslim Postgraduate College of Commerce and Management Sciences,"Eid Gah Road, Zaryab Colony, Peshawar",Fsc Pre-Medical FSc Pre-Engineering ICS DCom DBA DAE Civil DAE Electrical FA FA General Science ICom,N/A,N/A,0*
Govt Girls Higher Secondary School Shahdara Town Lahore,Govt Girls Higher Secondary School Shahdara Town Lahore,FSc Pre Medical FSc Pre Engineering ICom ICS FA Arts FA General Science,Public,N/A,0*
Peshawar Model Degree Colleges Mardan,"Minjawara Stop, Nisata Road, Mardan",FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,Private,N/A,0*
Punjab Group of Colleges Muzaffargarh,Alipur Road near Dist. HQ Hospital,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,2.25*
ITM College of Commerce 8-University Road Sargodha,ITM College of Commerce 8-University Road Sargodha,FA Fsc Pre-Medical FSc Pre-Engineering ICS Icom FA IT,Private,N/A,5*
Concordia Colleges Multan,"College Chowk, Bosan Road, Multan",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
"Govt. College of Commerce, Mianwali",Near Govt.Poultry Form Mianwali,ICom,N/A,N/A,0*
Govt Boys Degree College Dinga Gujrat,Govt Boys Degree College Dinga Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,N/A,0*
Karlot Residential College Islamabad,"Karlot Residential College Main Murree Road, Near Chatter Park, Islamabad.",ICS FA FSc Pre-Medical FSc Pre-Engineering ICom FA General Science,Private,N/A,0*
Rawat Residential College Islamabad,"Rawat Residential College, Navy Road, Rawat (F.A), Islamabad",FA ICS ICom FSc Pre Engineering FSc Pre Medical,Private,N/A,0*
Kings' College of Management & Commerce Multan,"1-C, Y Block, Main Boulevard, Madni Chowk, New Multan, Multan",FA Icom,N/A,University of Sargodha,5*
"Govt. Institute of Commerce, Shahpur Sadar, District Sargodha","Riaz-ul-Khatib Colony Road, Shahpur Sadar",FA Icom DCom,N/A,N/A,0*
"The Boston College, Lahore",1-Riwaz Garden Lower Mall,FA FA General Science ICS FSc  ICOM,N/A,N/A,0*
Govt College For Women Shorkot Jhang,Hassowali Shorkot City Distt Jhang,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Sindh National Textile College Karachi,"PECHS, 183-D/2, Tariq Road, Liberty Signal (Jheel Park), Near Highway Bakery Karachi",FSc Pre Medical Fsc Pre Engineering ICom,N/A,N/A,0*
National High School & College Karachi,"Block 13-A, Main University Road, Gulshan-e-Iqbal Karachi",FSc Pre Engineering FSc Pre Medical FSc General Science,N/A,N/A,0*
Govt Post Graduate College of Commerce Rawalpindi,Govt Post Graduate College of Commerce Rawalpindi,Dcom ICom,Public,N/A,0*
Army Burn Hall College for Girls Abbottabad Cantt,"Army Burn Hall College for Girls, Abbottabad Cantt",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Private,N/A,0*
Aviation Army Public School and College Rawalpindi Cantt,"Aviation Army Public School & College, Dhamial Camp, Rawalpindi Cantt",FSc Pre Medical ICS FSc Pre Engineering FA ICom,Private,N/A,0*
Farabi College of Commerce Sheikhupura,15-C COLLEGE ROAD CIVIL LINES SHEIKHUPURA,FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Private,N/A,0*
Civil Group of Colleges Rawalpindi,"F-783, 6th Road, Satellite Town, Rawalpindi",FSc Pre Medical Fsc Pre Engineering ICS Computer Science FA ICOM,Private,N/A,0*
Punjab Group of Colleges Liaqatpur,"Khursheed Town, Liaqatpur",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,0*
Punjab Group of Colleges Chawinda,Near main Lari Addan Chawinda,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Govt College of Commerce Jauharabad Khushab,Jauharabad Khushab,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
"Govt. Institute of Commerce, Sheikhupura",Doshera Ground Old City Sheikhupura,FA Icom,N/A,N/A,0*
Govt Degree College For Women Kohat Road Gulshan Rehman Colony Peshawar,Govt Degree College For Women Kohat Road Gulshan Rehman Colony Peshawar,FA Fsc Pre Medical FSc Pre Engineering FA General Science FSc Computer Science,Public,N/A,0*
Govt Degree College For Women Ghakhar Mandi Gujranwala,Govt Degree College For Women Ghakhar Mandi Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Govt Degree College Boys Phool Nagar Pattoki Kasur,Govt Degree College Boys Phool Nagar Pattoki Kasur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Govt Post Graduate College Peoples Colony Gujranwala,Govt Post Graduate College Peoples Colony Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
"Trace College, Lahore","236-Badar Block Multan Road, Allama Iqbal Town",FA Fsc General Science ICOM ICS,N/A,N/A,0*
Govt Degree College Wadpagga Dalazak Road Peshawar,Govt Degree College Wadpagga Dalazak Road Peshawar,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science,Public,N/A,0*
Superior Group of Colleges Pattoki,Main GT Road Pattoki,FSc Pre Medical Fsc Pre Engineering ICom ICS FA,Private,N/A,3*
Punjab College of Commerce Faisalabad Jhang Bypass Chiniot,Punjab College of Commerce Faisalabad Jhang Bypass Chiniot,FA FSc Pre Engineering FSc Pre Medical FA General Science ICom ICS Computer Science,Public,N/A,0*
Sialkot Group of Colleges,Railway Road Sialkot,FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,Private,"Govt of Punjab, Punjab University, Punjab Board of Technical Education, Gujranwala Board",0*
Leads Group of Colleges Bahawalnagar,Leads Group of Colleges Bahawalnagar,FSc Pre Medical Fsc Pre Engineering ICS FA ICom,Private,N/A,0*
Govt Institute of Commerce Nowshera Road Gujranwala,Govt Institute of Commerce Nowshera Road Gujranwala,Dcom FA FSc Pre-Engineering FSc Pre-Medical ICS Icom DBA,Public,N/A,0*
Govt Boys Degree College Pindigheb Attock,Pindigheb Attock,FA FA General Science FSc Pre Medical FSc Pre Engineering,Public,N/A,0*
Standard College of Business Administration Lahore,"28-Aibak Block, Barkat Market, New Garden Town Lahore",FSc Pre Medical FSc Pre Engineering ICS ICom FA Arts,N/A,University of the Punjab Lahore,3.75*
Govt Boys Degree College Kamoke Gujranwala,Govt Boys Degree College Kamoke Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Askaria Colleges Girls Wing Rawalpindi Cantt,"Askaria College (Girls Wing), 117 Market Road, Rawalpindi Cantt",FA Icom ICS FSc Pre Engineering FSc Pre Medical,Private,N/A,0*
Govt College For Women Millat Town Faisalabad,"Govt College For Women Chak No. 117JB., Millat Town Faisalabad",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,0*
Leads Group of Colleges Sialkot,Leads Group of Colleges Sialkot,FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Private,N/A,0*
Rockland College International Islamabad,"3rd Floor, Green Trust Tower, Jinnah Avenue, Blue Area, Islamabad",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,0*
The Brilliant College Peshawar,Near Govt College Chowk Peshawar City,FA Fsc Pre-Medcial FSc Pre-Engineering FA General Science ICS ICom,N/A,N/A,5*
Govt College For Women Gujranwala City,Govt College For Women Gujranwala City,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0.25*
Iba Community College Naushahro Feroze,"Old Govt Mono Technical Institute Mithiani Road, Naushahro Feroze",DAE Computer Information Technology DAE Electrical DAE Electronics Diploma of Associate Engineering DAE,Private,N/A,0*
Punjab Group of Colleges Arifwala,"Main Qaboola Road,",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Govt Boys Degree College Fateh Jang Attock,College More Kohat Road Fateh Jang,FSc Pre Engineering FSc Pre Medical FA General Science FA ICS,Public,N/A,0*
"Lahore Polytechnique Institute, Sheikhupura",Batti Chowk Sheikhupura,DAE in Civil DAE in Electrical DAE in Mechanical,N/A,N/A,0*
Govt Degree College Sohawa Jhelum,Govt Degree College Sohawa Jhelum,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Govt Degree College For Women Talagang Chakwal,Chakwal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Islamia Degree College of Commerce & Computer Sciences,"Eid Gaah Road, Asharfia Colony, Burbalab Nehar",FSc Pre Engineering FSc Pre Medical FA DCom,N/A,N/A,0*
"MHE House of Education, Karachi","Gulshan-e-Iqbal Block 13/C in between KFC and Haleem Ghar, Karachi, -75350",FA FSc Pre Engineering FSc Pre Medical Icom ICS  Computer Science A-Level,N/A,N/A,0*
Allama Iqbal College Of Commerce Multan,"Chungi No. 9 Bossan Road, Multan",FA Fsc Pre Medical FSc Pre Engineering ICs Computer Science ICom DCom,N/A,N/A,3.25*
Govt Degree College for Women Bhera,Govt Degree College for Women Bhera,FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Public,N/A,0*
Superior Group of Colleges Pasrur,"Defense Town, Daska Road Pasrur",FSc Pre Engineering Fsc Pre Medical ICom ICS,Private,N/A,4*
Informatics Group of Colleges,527 J-Block Johar Town Lahore,Fsc Pre Engineering FSc Pre Medical FA IT ICS Icom,Private,N/A,0*
Tameer-e-Seerat College of Science & Commerce Lahore,"Tameer-e-Seerat College of Commerce, Multan Road, Lahore",FA Fsc General Science ICS ICOM,N/A,"Punjab University
 Board of Intermediate and Secondary Education Lahore",0*
Govt Degree College For Women Fort Abbas Bahawalnagar,Govt Degree College For Women Fort Abbas Bahawalnagar,FA General Science FSc Pre Medical FSc Pre Engineering FA ICS ICom,Public,N/A,0*
Govt Degree College For Women Hazro Attock,Govt Degree College For Women Hazro Attock,FA Fsc Pre-Engineering FSc Pre-Medical ICS FSc General Science,Public,N/A,0*
Akhtar Majeed Girls Degree College Lahore,Riaz Chowk Township Lahore,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,N/A,N/A,1*
Punjab Group of Colleges Mailsi,Main Multan Road Mailsi,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Punjab Group of Colleges Haroonabad,"Fateh Khan Town,72/4 Road",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,2.25*
"CAMS College of Business & IT, Karachi","109-B, Gulshan-e-Faisal, Bath Island, Clifton, Karachi",ACCA Icom,N/A,N/A,0*
Pakistan Institute of Legal Studies Rawalpindi,"Children Park, Committee Chowk, Murree Road, Rawalpindi",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,N/A,0*
Oriental Degree College,Arbab Road Chowk University Road Peshawar.,FSc Pre Medical FSc Pre Engineering ICs Computer Science FA DCom DIT,Private,N/A,0*
Govt College For Women Khushab,Govt College For Women Khushab,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom FA General Science,Public,N/A,0*
Al-Mizan College Islamabad,"AL-MIZAN COLLEGE, AL-MIZAN COMPLEX, GILLANI AVENUE, MOTORWAY CHOWK, JHANGI SYEDAN, ISLAMABAD.",FA Icom FSc Pre Engineering ICs Computer Science FSc Pre Medical,Private,N/A,5*
